date,cases,deaths
2020-01-22,1,0
2020-01-23,1,0
2020-01-24,2,0
2020-01-25,2,0
2020-01-26,5,0
2020-01-27,5,0
2020-01-28,5,0
2020-01-29,5,0
2020-01-30,5,0
2020-01-31,7,0
2020-02-01,8,0
2020-02-02,8,0
2020-02-03,11,0
2020-02-04,11,0
2020-02-05,11,0
2020-02-06,11,0
2020-02-07,11,0
2020-02-08,11,0
2020-02-09,11,0
2020-02-10,11,0
2020-02-11,12,0
2020-02-12,12,0
2020-02-13,13,0
2020-02-14,13,0
2020-02-15,13,0
2020-02-16,13,0
2020-02-17,13,0
2020-02-18,13,0
2020-02-19,13,0
2020-02-20,13,0
2020-02-21,15,0
2020-02-22,15,0
2020-02-23,15,0
2020-02-24,15,0
2020-02-25,15,0
2020-02-26,15,0
2020-02-27,16,0
2020-02-28,16,0
2020-02-29,24,1
2020-03-01,30,1
2020-03-02,53,6
2020-03-03,73,7
2020-03-04,104,11
2020-03-05,174,12
2020-03-06,222,14
2020-03-07,337,17
2020-03-08,451,21
2020-03-09,519,22
2020-03-10,705,28
2020-03-11,1108,32
2020-03-12,1524,42
2020-03-13,2038,51
2020-03-14,2754,58
2020-03-15,2955,71
2020-03-16,4305,98
2020-03-17,6030,133
2020-03-18,8791,190
2020-03-19,13485,251
2020-03-20,18196,346
2020-03-21,24988,444
2020-03-22,32753,536
2020-03-23,42301,711
2020-03-24,52491,902
2020-03-25,63942,1199
2020-03-26,80357,1558
2020-03-27,98202,2021
2020-03-28,117298,2652
2020-03-29,135436,3245
2020-03-30,155387,3870
2020-03-31,181796,4711
2020-04-01,205609,6040
2020-04-02,235625,7471
2020-04-03,267220,8802
2020-04-04,301533,10249
2020-04-05,329138,11720
2020-04-06,358371,13371
2020-04-07,390090,15792
2020-04-08,421803,17848
2020-04-09,456581,19842
2020-04-10,490143,21850
2020-04-11,519338,24004
2020-04-12,547518,25727
2020-04-13,572578,27474
2020-04-14,598680,29787
2020-04-15,628922,32373
2020-04-16,660230,34456
2020-04-17,692113,36431
2020-04-18,720047,38274
2020-04-19,746246,40065
2020-04-20,771939,42045
2020-04-21,795838,44199
2020-04-22,825922,46667
2020-04-23,859987,48740
2020-04-24,896380,50280
2020-04-25,928645,53093
2020-04-26,955832,54053
2020-04-27,978153,55578
2020-04-28,1002767,57690
2020-04-29,1030187,60303
2020-04-30,1059904,62255
2020-05-01,1093329,64259
2020-05-02,1121766,65696
2020-05-03,1146589,66957
2020-05-04,1169009,68116
2020-05-05,1192917,70259
2020-05-06,1218059,72523
2020-05-07,1245192,74682
2020-05-08,1271766,76175
2020-05-09,1297272,77742
2020-05-10,1316186,78475
2020-05-11,1336224,79598
2020-05-12,1357337,81250
2020-05-13,1378237,82979
2020-05-14,1405018,84793
2020-05-15,1429687,86404
2020-05-16,1453856,87587
2020-05-17,1472207,88392
2020-05-18,1492507,89099
2020-05-19,1512649,90637
2020-05-20,1536138,92187
2020-05-21,1561012,93466
2020-05-22,1584447,94662
2020-05-23,1605670,95753
2020-05-24,1625818,96411
2020-05-25,1645125,96932
2020-05-26,1664005,97590
